;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
Съёмник стопорн.колец Sparta , шт;;;;;1,000;148,00;250,00
Табличка для номера телефон.на панель (магн.), шт;;;;;2,000;200,00;340,00
Табличка для номера телефон.на панель с цифрами (магн), шт;;;;;2,000;280,00;500,00
Табурет ударника круглый WeDrum, ступенчатая регулировка высоты, шт;;;;;2,000;4 900,00;8 100,00
Таймер Apple (48), шт;;;;;-2,000;-377,40;-640,00
Таймер Egg (48), шт;;;;;2,000;326,00;560,00
Таймер HOM-21, шт;;;;;2,000;220,00;400,00
Таймер Robiton EL-01 BL1(таймер электрон/сутки+нед), шт;;;;;1,000;740,00;1 250,00
Таймер ROBITON EL-03 электронный на 20 программ BL1, шт;;;;;1,000;690,00;1 170,00
"Таймер кухонный ""Чеснок"", 7,2*7,2 см (48), шт";;;;;1,000;186,00;320,00
"Таймер кухонный ""Яйцо"", 5,9*7,2 см (софт тач) (48), шт";;;;;2,000;408,00;700,00
Таймер кухонный, 5,9*4,0 см (софт тач)(48), шт;;;;;1,000;200,00;340,00
Таймер электр.X-103, шт;;;;;2,000;280,00;580,00
Тамбурин Alice ATB003, шт;;;;;1,000;598,00;990,00
ТВ-приставка Barton TA-561 DVB-T2 / пластик, без кнопок и без дисплея, выносной длок питания, шт;;;;;2,000;1 500,00;2 500,00
ТВ-приставка LP-8800 DVB-T2 / дисплей .металл,/, шт;;;;;7,000;4 130,00;7 350,00
ТВ-приставка LUMAX  DV1111HD DVB-T2 / пластик, шт;;;;;1,000;680,00;1 150,00
ТВ-приставка Selenga HD81D DVB-T2 / Ali M3821 / пластик / дисплей / провода в комплекте, IPTV, youtu, шт;;;;;2,000;1 300,00;2 200,00
ТВ-приставка Selenga T20DI DVB-T2 / MSD 7T01 / пластик / AC-3/провода в комплекте), шт;;;;;9,000;4 950,00;8 910,00
ТВ-приставка Selenga T82D DVB-T2, шт;;;;;4,000;2 560,00;4 600,00
Телевизор Eplutus 116T (DVB-T2) (30 см), шт;;;;;1,000;5 000,00;7 400,00
"Телевизор Eplutus 135Т (13 "",T2, ), шт";;;;;1,000;5 750,00;8 590,00
Телевизор Eplutus 910T (DVB-T2) ( 23см), шт;;;;;1,000;4 300,00;6 980,00
Телеф.аппарат Ritmix-330   , шт;;;;;1,000;690,00;1 280,00
Телефон.разветв.1шт-3гн (тлф)  (16033), шт;;;;;4,000;60,00;160,00
Телефон.соедин. Гн.-2 Гн.(тлф)  (16031), шт;;;;;6,000;180,00;300,00
Телефон.соедин. Гн.-Гн.(тлф), шт;;;;;3,000;105,00;180,00
Телефонная адаптер вилка 16026, шт;;;;;4,000;200,00;360,00
Телефонный аппарат  Texet TX234, шт;;;;;2,000;1 320,00;2 300,00
Тепловентилятор Centek CT-6002 1000/2000Вт, 3 режима, защита от перегрева, быстрый прогрев, шт;;;;;1,000;786,14;1 330,00
Тепловентилятор Centek CT-6023 керам нагреватель 750/1500Вт, защита от перегрева, обогрев/вентиляция, шт;;;;;1,000;1 660,50;2 550,00
Тепловентилятор JL NIVA- FH-06, шт;;;;;1,000;630,00;1 150,00
Тепловентилятор JL NIVA- FH-26, шт;;;;;1,000;700,00;1 260,00
Тепловентилятор автомобильн.12v -24v 150W, шт;;;;;1,000;550,00;930,00
Теплопроводящий клей HY910 10g, шт;;;;;3,000;525,00;900,00
Терминал 30А 16mm², шт;;;;;3,000;180,00;300,00
Терминал соединит.эл.10А 10мм2, шт;;;;;2,000;40,00;100,00
Терминал соединит.эл.15А 12мм2, шт;;;;;3,000;150,00;270,00
Терминал соединительный, шт;;;;;5,000;150,00;300,00
Термоc 1 л. RM-925-ST , шт;;;;;1,000;660,00;1 150,00
Термоc DAYDAYS RM/DE-100 1л (12), шт;;;;;1,000;595,00;990,00
Термоc RM-5172 , шт;;;;;2,000;1 320,00;2 380,00
Термоc RM-QE-8108 Зеленый 1,5л. (30), шт;;;;;1,000;874,00;1 490,00
Термокружка RM-1126  , шт;;;;;2,000;510,00;940,00
Термокружка RM-1472 цвет Красный 500мл (50), шт;;;;;1,000;326,00;560,00
Термометр  оконный (на липкой ленте) Снеговик, шт;;;;;2,000;100,00;180,00
Термометр  оконный (на липкой ленте) ТБ-223, шт;;;;;4,000;160,00;320,00
Термометр - гигрометр ТН-108, шт;;;;;2,000;170,00;320,00
Термометр +гигрометр цифр.CX-201A, шт;;;;;3,000;690,00;1 290,00
Термометр бесконтактный бытовой , шт;;;;;1,000;380,00;750,00
Термометр биметаллический оконный, шт;;;;;6,000;240,00;540,00
Термометр д\дух.печей 300 С°, шт;;;;;1,000;190,00;350,00
"Термометр для воды ""Лодочка"", шт";;;;;3,000;75,00;180,00
Термометр для холодильника   $  х110, шт;;;;;4,000;120,00;280,00
Термометр комнатный Бланш, шт;;;;;2,000;90,00;160,00
Термометр комнатный ТСК-7, шт;;;;;5,000;150,00;300,00
Термометр комнатный цветок-П-1 (П-2), шт;;;;;7,000;266,00;525,00
Термометр пищевой эл., шт;;;;;2,000;350,00;760,00
Термометр с гигрометром авто с датчиком , шт;;;;;3,000;480,00;810,00
Термометр уличн.спирт.Божья коровка, шт;;;;;2,000;220,00;380,00
Термометр уличный большие цифры(кр), шт;;;;;1,000;45,00;90,00
Термометр уличный на гвоздике ТСН-4, шт;;;;;6,000;102,00;300,00
Термометр уличный на липучке ТСН 14/1, шт;;;;;3,000;54,00;150,00
Термометр уличный на липучке ТСН 15/1 (больш.), шт;;;;;4,000;200,00;400,00
Термометр цифровой Орбита HOM10, шт;;;;;3,000;330,00;600,00
Термометр цифровой Орбита HOM26, шт;;;;;3,000;510,00;870,00
Термометр эл. авто., шт;;;;;5,000;500,00;1 000,00
Термометр электр. с таймером  -278, шт;;;;;2,000;680,00;1 160,00
Термометр- SR -47263  (больш.колба), шт;;;;;8,000;960,00;1 760,00
Термопаста КПТ-19 Solins 20g (невысыхающая), шт;;;;;2,000;180,00;320,00
Термопаста КПТ-8 50гр, шт;;;;;2,000;250,00;430,00
Термопаста КПТ-8 в шприце 12мл, шт;;;;;1,000;110,00;190,00
Термопредохранитель 121°C 15A, шт;;;;;2,000;30,00;70,00
Термопредохранитель 142°C 15A, шт;;;;;2,000;36,00;70,00
Термопредохранитель 172°C 15A, шт;;;;;2,000;48,00;80,00
Термопредохранитель 192°C 15A   52401, шт;;;;;2,000;48,00;80,00
Термопредохранитель 216°C 15A  52398, шт;;;;;3,000;72,00;120,00
Термос 5023 SPORT цвет в ассорт.Объем 1л, шт;;;;;1,000;735,00;1 250,00
Термос AISBERG RM/MA-1800 1,8л (12) (Purple) (ТМ AISBERG), шт;;;;;1,000;561,00;960,00
Термос DAYDAYS RM-2644-2 , шт;;;;;4,000;1 400,00;2 680,00
Термос DAYDAYS RM-388-180TT-1  1,8л.(12), шт;;;;;1,000;643,00;1 090,00
Термос RM-1809 1л., шт;;;;;1,000;678,00;1 150,00
Термос RM-324 металл. со стеклянной колбой 1,2л (12), шт;;;;;1,000;660,00;1 120,00
Термос RM-356 металл с кнопкой,узкое горло 0,75л (30), шт;;;;;1,000;467,00;790,00
Термос RM-357 метал. с кнопкой,узкое горло 1л. (30), шт;;;;;1,000;440,01;750,00
Термос RM-79T100 Бирюзовый 1л.(12), шт;;;;;1,000;520,00;890,00
Термос RM-931  металл.пластик 0,5л. (40), шт;;;;;1,000;560,00;950,00
Термос RM-934 металл.пластик 2л. , шт;;;;;1,000;1 505,00;2 560,00
Термос металл. Perfect 500 ml, шт;;;;;1,000;370,00;630,00
Термос подарочн  624, шт;;;;;1,000;530,00;900,00
Тестер автомоб.аккумуляторов Konnwei-KW-600 , шт;;;;;1,000;3 150,00;4 500,00
Тетрис KS-9999, шт;;;;;4,000;360,00;760,00
Тетрис ZL-2030, шт;;;;;1,000;125,00;220,00
Тиски 60mm, крепление для стола Sparta 185095, шт;;;;;1,000;500,00;850,00
Тостер Centek CT-1420 (белый) 750 Вт, 7 уровней мощности, теплоизолированный корпус, функция отмены, шт;;;;;1,000;1 280,10;2 180,00
Тостер Centek СТ-1429 (бежевый) 750Вт, 7 ур. прожарки, 2 тоста, поддон, стоп, подогрев, разморозка, шт;;;;;1,000;1 635,00;2 700,00
"Точилка для ножей  ""Зубр"", шт";;;;;2,000;170,00;300,00
Точилка для ножей -168 (3 ая), шт;;;;;2,000;280,00;480,00
Точилка для ножей -168-3, шт;;;;;1,000;120,00;220,00
Точилка для ножей (мусат ), шт;;;;;1,000;85,00;150,00
Точилка для ножей Рыбка, шт;;;;;2,000;70,00;140,00
Трансмиттер  Defender  -RT-Basic 12v (Tone), шт;;;;;1,000;440,00;750,00
Трансмиттер  Eplutus-FB-15, шт;;;;;1,000;420,00;720,00
Трансмиттер  Eplutus-FB-21, шт;;;;;2,000;940,00;1 600,00
Трансмиттер TV Орбита DVB-08  Wi -Fi     g7s, шт;;;;;1,000;1 000,00;1 700,00
"Треугольник Brahner DP-404 4"", шт";;;;;1,000;270,00;460,00
"Треугольник Brahner DP-405 5"", шт";;;;;1,000;310,00;530,00
"Треугольник Brahner DP-406 6"", шт";;;;;1,000;359,00;620,00
"Треугольник Brahner DP-407 7"", шт";;;;;1,000;420,00;720,00
"Треугольник Brahner DP-408 8"", шт";;;;;1,000;490,00;840,00
Триммер  Geemy-3002, шт;;;;;1,000;180,00;320,00
Триммер  Geemy-3107 3в1, шт;;;;;2,000;680,00;1 180,00
Триммер для носа и ушей Hoco DAR08, шт;;;;;1,000;385,00;650,00
Триммерный набор Centek CT-2177 (чёрн/хром) 2 насадки для ушей и бороды, питание 1хАА, подставка, шт;;;;;1,000;462,19;780,00
Тройник -переходник  складной ST-2561, шт;;;;;3,000;174,00;360,00
Тройник -переходник с выкл.и предохр. 16 А , шт;;;;;3,000;195,00;360,00
Тройник эл.линейн 16А х3 розетки SmartBuy, шт;;;;;2,000;300,00;540,00
Тройник электрический  ЕВРО16 А , шт;;;;;7,000;490,00;1 190,00
Трос с щипцами сантехнический для прочистки труб, шт;;;;;1,000;55,00;120,00
Труба подзорная Патриот PT-TRB04  (16*52), шт;;;;;1,000;1 500,00;2 550,00
Трубка курительная (подарочн.) б, шт;;;;;2,000;720,00;1 300,00
Трубка термоусадочная Помощник PM-INR07,набор /10, шт;;;;;4,000;192,00;360,00
Трубка термоусадочная Помощник PM-INR10,набор /530шт, шт;;;;;1,000;260,00;440,00
Тумблер 10A 250v, шт;;;;;6,000;660,00;1 080,00
Тюнер гитарный Мозеръ T60G      , шт;;;;;1,000;274,00;500,00
Тюнер гитарный Мозеръ T80GA, шт;;;;;1,000;294,00;500,00
Тюнер для гитары LS-008, шт;;;;;4,000;896,00;1 880,00
Удлинитель  для гирлянд 5м  К130-1070  , шт;;;;;7,000;175,00;560,00
Удлинитель  питан.5.5 х2.5мм  -5.5(гн)  (1м)  D44, шт;;;;;3,000;240,00;420,00
Удлинитель  питан.5.5 х2.5мм  -5.5(гн)  (3м) 5079, шт;;;;;3,000;300,00;540,00
Удлинитель (шт) 3.5мм- (гн)3.5мм 4-х кон.силикон S254 (H229), шт;;;;;1,000;130,00;230,00
Удлинитель EX-Profil  16A  3м, шт;;;;;1,000;170,00;320,00
Удлинитель EX-Profil  16A  5м, шт;;;;;3,000;690,00;1 260,00
Удлинитель EX-Profil  16A  8м, шт;;;;;2,000;670,00;1 200,00
Удлинитель Perfeo 10A  3м, шт;;;;;1,000;190,00;340,00
Удлинитель Smartbuy, 2 гнезда 2.0 метра 10А/2.2кВт без заземления  ПВС 2х1.0, шт;;;;;2,000;360,00;600,00
Удлинитель Smartbuy, 3 гнезда 1,5 метра 10А/2.2кВт без заземления ПВС 2х1.0, шт;;;;;4,000;640,00;1 280,00
Удлинитель Smartbuy, 3 гнезда 1.5 метра 16А/3.5кВт с заземлением ПВС 3x1.0, шт;;;;;1,000;200,00;350,00
Удлинитель Smartbuy, 3 гнезда 10 м 10А/2.2кВт без заземления  ПВС 2х1.0, шт;;;;;1,000;410,00;690,00
Удлинитель Smartbuy, 3 гнезда 15 м 10А/2.2кВт без заземления  ПВС 2х1.0, шт;;;;;1,000;450,00;820,00
Удлинитель Smartbuy, 3 гнезда 2.0 метра 10А/2.2кВт без заземления  ПВС 2х1.0, шт;;;;;6,000;1 050,00;1 800,00
Удлинитель Smartbuy, 3 гнезда 2.0 метра 16А/3.5кВт c заземления и выключателем ПВС 2х1.0, шт;;;;;1,000;280,00;470,00
Удлинитель Smartbuy, 3 гнезда 3.0 метра 10А/2.2кВт без заземления ПВС 2х1.0, шт;;;;;5,000;925,00;1 700,00
Удлинитель Smartbuy, 3 гнезда 5.0 метра 10А/2.2кВт без заземления ПВС 2х1.0, шт;;;;;2,000;470,00;900,00
Удлинитель Smartbuy, 3 гнезда 5.0 метра 16А/3.5кВт с выкл. и заземлением ПВС 3х1.0, шт;;;;;3,000;1 230,00;2 070,00
Удлинитель Smartbuy, 3 гнезда 7.0 м 10А/2.2кВт без заземления  ПВС 2х1.0, шт;;;;;3,000;1 020,00;1 740,00
Удлинитель Stern 5м  1роз.16А с заземл., шт;;;;;1,000;650,00;1 050,00
Удлинитель в прикуриватель  TDS TS CAU44 3м (шт-гн), шт;;;;;3,000;870,00;1 380,00
Удлинитель ДИП Электрик 10A  3м, шт;;;;;2,000;196,00;340,00
Удлинитель для видеокамер.Орбита 20м  VNW08 (RG-45 +DC 5.5*2.1), шт;;;;;2,000;1 040,00;1 760,00
Удлинитель для наушников 1.5м -093 (10976), шт;;;;;4,000;240,00;520,00
Удлинитель для наушников 10м  (золот.) APH-214-10  10985, шт;;;;;2,000;380,00;760,00
Удлинитель для наушников 3м  093  (10977), шт;;;;;1,000;70,00;130,00
Удлинитель для наушников 3м APH- 203-3, шт;;;;;3,000;390,00;660,00
Удлинитель для наушников 5м 093 10978, шт;;;;;1,000;70,00;150,00
Удлинитель для рации F - SMA  FM-SMAF  10м, шт;;;;;1,000;650,00;1 100,00
Удлинитель оранж. 15м  1роз.10А, шт;;;;;1,000;490,00;830,00
Удлинитель серия Home с заземл. 10A  2м, шт;;;;;1,000;240,00;350,00
Удлинитель черный 10м, шт;;;;;2,000;680,00;1 160,00
Удлинитель черный 20м , шт;;;;;1,000;660,00;1 130,00
